Neuron,Cell Class,Anatomical cell class (WW Barry),Final classification,Sensory type,"Processes in front part of the worm before NR (not any head bundles, all motor neurons from DNC or VNC that reach far but not bundle, only used in mid range network)",Processes in labial sensory receptor (VR),Processes in labial sensory receptor ( R),Processes in labial sensory receptor (DR),Processes in labial sensory receptor (VL),Processes in labial sensory receptor (L),Processes in labial sensory receptor (DL),Processes in anterior subventral cord (R ),Processes in anterior subventral cord (L),Processes in anterior subdorsal cord (R ),Processes in anterior subdorsal cord (L ),Processes in front part of the worm amphid commissure (not pharinx or nerve ring)(L),Processes in front part of the worm amphid commissure (not pharinx or nerve ring)(R),Processes in front part of the worm deirid commissure (not pharinx or nerve ring)(L),Processes in front part of the worm deirid commissure (not pharinx or nerve ring)(R),Processes in  nerve ring,Process in pharynx,Cell body in pharynx,Cell body in head (not ganglion),Cell body in anterior ganglion,Cell body in lateral ganglion,Cell body in dorsal ganglion,Cell body in ventral ganglion,Cell body in retrovesicular ganglion,Cell body Ventral cord,Cell body in worm body(middle),"Process in ventral sublaterals(L, not ventral cord)","Process in ventral sublaterals(R, not ventral cord)",Processes in anterior VNC (ventral ganglion and retrovesicular ganglion) ,Processes in ventral cord,Processes in canal associated (R ),Processes in canal associated (L),"Process in dorsal sublaterals(R, not dorsal cord)","Process in dorsal sublaterals(L, not dorsal cord)",Processes in dorsal cord,Cell body in lumbar ganglion,Cell body in dorsorectal ganglion,Cell body in preanal ganglion,Processes in tail tip bundle,Processes in tail preanal ganglion bundle (most tail processes go through this bundle),Processes from canal associated neurons in tail
'PHBR',47,Phasmid,sensory neuron,chemosensory mechanosensory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
'PHCL',48,Phasmid,sensory neuron,thermosensory  nocioceptor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
'PHCR',48,Phasmid,sensory neuron,thermosensory  nocioceptor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
'SDQL',49,Ring interneurons,sensory neuron,oxygen sensory mechanosensory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
'SDQR',49,Ring interneurons,sensory neuron,oxygen sensory mechanosensory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'URBL',50,Ring interneurons,sensory neuron,none,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'URBR',50,Ring interneurons,sensory neuron,none,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'DVA',51,Ventral cord interneurons,sensory neuron,strech sensory         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
'AUAL',52,Mechanosensory neurons,interneuron,none,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'AUAR',52,Mechanosensory neurons,interneuron,none,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'AIAL',53,Amphid interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'AIAR',53,Amphid interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'AIBL',54,Amphid interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'AIBR',54,Amphid interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'AIYL',55,Amphid interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'AIYR',55,Amphid interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'AIZL',56,Amphid interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'AIZR',56,Amphid interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'ADAL',57,Amphid interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ADAR',57,Amphid interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'AIML',58,Amphid interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'AIMR',58,Amphid interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'AINL',59,Amphid interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'AINR',59,Amphid interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'ALA',60,Amphid interneurons,interneuron,mechanosensory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
'BDUL',61,Amphid interneurons,interneuron,mechanosensory,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
'BDUR',61,Amphid interneurons,interneuron,mechanosensory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
'CANL',62,Amphid interneurons,unknown,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
'CANR',62,Amphid interneurons,unknown,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
'RIPL',63,Ring interneurons,interneuron,none,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'RIPR',63,Ring interneurons,interneuron,none,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'RIAL',64,Ring interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'RIAR',64,Ring interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'RIBL',65,Ring interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'RIBR',65,Ring interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'RICL',66,Ring interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'RICR',66,Ring interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'RIFL',67,Ring interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'RIFR',67,Ring interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'RIGL',68,Ring interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'RIGR',68,Ring interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'RIH',69,Ring interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'RIR',70,Ring interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'RIS',71,Ring interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'RMGL',72,Ring interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'RMGR',72,Ring interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'AVFL',73,Ventral cord interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
'AVFR',73,Ventral cord interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
'AVG',74,Ventral cord interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
'AVHL',75,Ventral cord interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
'AVHR',75,Ventral cord interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
'AVJL',76,Ventral cord interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
'AVJR',76,Ventral cord interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
'AVKL',77,Ventral cord interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
'AVKR',77,Ventral cord interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
'AVL',78,Ventral cord interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
'DVB',79,Ventral cord interneurons,interneuron,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
