tSNE_Variables_1,tSNE_Variables_2,Neuron,Indegree,Group
13.1891999461392,-19.2070645473167,I1L,196,group3
13.1890082058123,-19.2069797448278,I1R,196,group3
-6.2624761077046,14.0427259229406,I2L,27,none
-6.26237699276057,14.0428828908968,I2R,27,none
6.92583853191266,-6.97692206834074,I3,177,group3
7.42379183859055,-6.65893138460749,I4,174,group3
8.0432262763491,-6.46051250215329,I5,184,group3
-14.7988905085853,20.5630927371055,I6,20,none
13.308950711395,-6.07326384048129,M1,200,group3
-11.1583013121798,24.0854402627043,M2L,21,none
-11.158251932046,24.0854472075951,M2R,21,none
-5.34109573626596,22.8872680458215,M3L,40,none
-5.34108454437138,22.8872352324781,M3R,40,none
-8.59821971670323,17.3233808762764,M4,6,none
7.41746854985424,-6.64296219808829,M5,174,group3
-9.63205614147636,23.4258030200157,MCL,39,none
-9.63207473623462,23.4255785053391,MCR,39,none
-0.556582238952896,21.0446402280962,MI,44,none
1.00606979434221,15.6868496044842,NSML,102,none
1.00609422021574,15.6869991134235,NSMR,102,none
10.4231221763271,-8.75066445231319,ADFL,196,group3
10.4231379046399,-8.75065747709825,ADFR,196,group3
7.54931345210909,19.928551752205,ADLL,129,none
7.54941607211518,19.929853063487,ADLR,129,none
-0.788144639685976,20.3988820702315,ASEL,47,none
3.48043222489019,17.6688649427389,ASER,97,none
8.05062521671302,-12.4904592818102,ASGL,202,group3
8.05054975564997,-12.4904469191245,ASGR,202,group3
5.0286833739191,12.0324101736206,ASHL,121,none
5.0286296336184,12.0325129710028,ASHR,121,none
0.261325197082161,10.9542907676521,ASIL,83,none
0.261309090159359,10.9542345341654,ASIR,83,none
6.7427120823604,5.07263344529794,ASJL,151,none
6.74290547308619,5.07243075054856,ASJR,151,none
10.2482608918599,-6.43388658466059,ASKL,190,group3
10.2481678366331,-6.43393411157972,ASKR,190,group3
7.76791046756351,-2.77864678978544,AWAL,169,group3
7.76830865288548,-2.77909004545177,AWAR,169,group3
5.26784379792429,13.3236261928142,AWBL,115,none
5.26784470172946,13.3236539779952,AWBR,115,none
2.41050580355265,12.2640961699791,AWCL,111,none
2.41035807857794,12.2636736002975,AWCR,111,none
-2.21782301207455,16.1509469756904,AFDL,60,none
-2.21780056047647,16.1509431742302,AFDR,60,none
-14.7972252672842,6.1934592869476,IL2DL,82,none
-15.2102519856317,6.24085119376027,IL2DR,82,none
6.9340383625415,12.379099891173,IL2L,133,none
