Neuron,Outdegree_NPP_all_mid_range,Indegree_NPP_all_mid_range,Degree_NPP_all_mid_range,Outdegree_NPP_all_short_range,Indegree_NPP_all_short_range,Degree_NPP_all_short_range
"I1L",13,158,171,0,16,16
"I1R",13,158,171,0,16,16
"I2L",0,9,9,0,5,5
"I2R",0,9,9,0,5,5
"I3",81,58,139,12,10,22
"I4",91,54,145,14,10,24
"I5",84,58,142,8,12,20
"I6",62,20,82,9,0,9
"M1",47,67,114,6,13,19
"M2L",105,21,126,11,7,18
"M2R",105,21,126,11,7,18
"M3L",56,40,96,7,10,17
"M3R",56,40,96,7,10,17
"M4",96,0,96,13,0,13
"M5",78,54,132,14,10,24
"MCL",38,25,63,2,7,9
"MCR",38,25,63,2,7,9
"MI",75,2,77,13,0,13
"NSML",68,20,88,12,0,12
"NSMR",68,20,88,12,0,12
"ADFL",23,116,139,19,102,121
"ADFR",23,116,139,19,102,121
"ADLL",60,67,127,47,53,100
"ADLR",60,67,127,47,53,100
"ASEL",14,2,16,14,2,16
"ASER",23,2,25,21,2,23
"ASGL",66,149,215,66,130,196
"ASGR",66,149,215,66,130,196
"ASHL",86,45,131,78,44,122
"ASHR",86,45,131,78,44,122
"ASIL",10,71,81,8,67,75
"ASIR",10,71,81,8,67,75
"ASJL",13,50,63,13,47,60
"ASJR",13,50,63,13,47,60
"ASKL",71,94,165,60,81,141
"ASKR",71,94,165,60,81,141
"AWAL",51,43,94,51,40,91
"AWAR",51,43,94,51,40,91
"AWBL",10,64,74,8,60,68
"AWBR",10,64,74,8,60,68
"AWCL",10,85,95,8,81,89
"AWCR",10,85,95,8,81,89
"AFDL",30,7,37,30,7,37
"AFDR",30,7,37,30,7,37
"IL2DL",65,78,143,52,52,104
"IL2DR",65,78,143,52,52,104
"IL2L",60,117,177,47,97,144
"IL2R",60,117,177,47,97,144
"IL2VL",65,78,143,52,52,104
"IL2VR",65,78,143,52,52,104
"OLQDL",81,3,84,63,3,66
"OLQDR",81,3,84,63,3,66
"OLQVL",81,3,84,63,3,66
"OLQVR",81,3,84,63,3,66
"OLLL",53,68,121,35,46,81
"OLLR",53,68,121,35,46,81
"CEPDL",15,2,17,15,2,17
"CEPDR",15,2,17,15,2,17
"CEPVL",15,2,17,15,2,17
"CEPVR",15,2,17,15,2,17
"ALML",14,94,108,14,68,82
"ALMR",14,94,108,14,68,82
"AVM",70,68,138,68,65,133
"PVM",20,115,135,17,95,112
"PLML",18,105,123,14,79,93
"PLMR",18,105,123,14,79,93
"ALNL",0,4,4,0,4,4
"ALNR",0,4,4,0,4,4
"PLNL",0,38,38,0,33,33
"PLNR",0,38,38,0,33,33
"FLPL",41,6,47,38,4,42
"FLPR",41,6,47,38,4,42
"PVDL",13,74,87,10,68,78
"PVDR",13,74,87,10,68,78
"BAGL",105,62,167,84,57,141
"BAGR",105,62,167,84,57,141
"URXL",85,164,249,69,128,197
"URXR",85,164,249,69,128,197
"URYDL",17,0,17,12,0,12
"URYDR",17,0,17,12,0,12
"URYVL",17,0,17,12,0,12
"URYVR",17,0,17,12,0,12
"AQR",50,143,193,48,133,181
"PQR",94,131,225,78,112,190
"ADEL",40,2,42,35,2,37
"ADER",40,2,42,35,2,37
"PDEL",54,2,56,43,2,45
"PDER",54,2,56,43,2,45
"PHAL",22,2,24,16,2,18
"PHAR",22,2,24,16,2,18
"PHBL",26,12,38,19,10,29
"PHBR",26,12,38,19,10,29
"PHCL",16,2,18,13,2,15
"PHCR",16,2,18,13,2,15
"SDQL",47,18,65,35,12,47
"SDQR",47,18,65,35,12,47
"URBL",62,109,171,43,76,119
"URBR",62,109,171,43,76,119
"DVA",144,149,293,132,138,270
"AUAL",13,2,15,13,2,15
"AUAR",13,2,15,13,2,15
"AIAL",48,71,119,44,65,109
"AIAR",48,71,119,44,65,109
"AIBL",17,61,78,12,49,61
"AIBR",17,61,78,12,49,61
"AIYL",84,59,143,79,47,126
"AIYR",84,59,143,79,47,126
"AIZL",53,81,134,50,67,117
"AIZR",53,81,134,50,67,117
"ADAL",102,35,137,85,35,120
"ADAR",102,35,137,85,35,120
"AIML",35,95,130,33,62,95
"AIMR",35,95,130,33,62,95
"AINL",38,40,78,34,40,74
"AINR",38,40,78,34,40,74
"ALA",164,112,276,120,80,200
"BDUL",45,107,152,33,60,93
"BDUR",45,107,152,33,60,93
"CANL",18,76,94,1,2,3
"CANR",18,76,94,1,2,3
"RIPL",10,57,67,10,41,51
"RIPR",10,57,67,10,41,51
"RIAL",0,51,51,0,48,48
"RIAR",0,51,51,0,48,48
"RIBL",73,68,141,68,62,130
"RIBR",73,68,141,68,62,130
"RICL",41,59,100,38,47,85
"RICR",41,59,100,38,47,85
"RIFL",33,5,38,28,5,33
"RIFR",33,5,38,28,5,33
"RIGL",37,109,146,36,91,127
"RIGR",37,109,146,36,91,127
"RIH",76,156,232,60,118,178
"RIR",47,133,180,45,98,143
"RIS",98,64,162,90,63,153
"RMGL",12,93,105,12,83,95
"RMGR",12,93,105,12,83,95
"AVFL",37,156,193,37,145,182
