Neuron,Outdegree_NPP_all_mid_range,Indegree_NPP_all_mid_range,Degree_NPP_all_mid_range,Outdegree_NPP_all_short_range,Indegree_NPP_all_short_range,Degree_NPP_all_short_range
"I1L",120,181,301,3,16,19
"I1R",120,181,301,3,16,19
"I2L",98,9,107,1,5,6
"I2R",98,9,107,1,5,6
"I3",134,74,208,12,10,22
"I4",118,56,174,14,10,24
"I5",125,79,204,8,16,24
"I6",105,20,125,9,0,9
"M1",93,100,193,6,17,23
"M2L",147,21,168,12,7,19
"M2R",147,21,168,12,7,19
"M3L",101,40,141,7,10,17
"M3R",101,40,141,7,10,17
"M4",143,6,149,14,0,14
"M5",80,54,134,14,10,24
"MCL",73,29,102,4,7,11
"MCR",73,29,102,4,7,11
"MI",118,32,150,13,9,22
"NSML",150,45,195,13,0,13
"NSMR",150,45,195,13,0,13
"ADFL",94,118,212,88,104,192
"ADFR",94,118,212,88,104,192
"ADLL",110,111,221,83,88,171
"ADLR",110,111,221,83,88,171
"ASEL",14,32,46,14,23,37
"ASER",23,79,102,21,66,87
"ASGL",136,163,299,133,144,277
"ASGR",136,163,299,133,144,277
"ASHL",126,112,238,117,102,219
"ASHR",126,112,238,117,102,219
"ASIL",73,71,144,70,67,137
"ASIR",73,71,144,70,67,137
"ASJL",81,123,204,78,109,187
"ASJR",81,123,204,78,109,187
"ASKL",121,110,231,110,95,205
"ASKR",121,110,231,110,95,205
"AWAL",122,43,165,119,40,159
"AWAR",122,43,165,119,40,159
"AWBL",56,112,168,50,101,151
"AWBR",56,112,168,50,101,151
"AWCL",73,101,174,70,95,165
"AWCR",73,101,174,70,95,165
"AFDL",35,37,72,35,35,70
"AFDR",35,37,72,35,35,70
"IL2DL",102,82,184,78,56,134
"IL2DR",102,82,184,78,56,134
"IL2L",102,126,228,83,105,188
"IL2R",102,126,228,83,105,188
"IL2VL",102,82,184,78,56,134
"IL2VR",102,82,184,78,56,134
"OLQDL",147,7,154,121,7,128
"OLQDR",147,7,154,121,7,128
"OLQVL",147,7,154,121,7,128
"OLQVR",147,7,154,121,7,128
"OLLL",85,108,193,65,85,150
"OLLR",85,108,193,65,85,150
"CEPDL",92,2,94,73,2,75
"CEPDR",92,2,94,73,2,75
"CEPVL",92,2,94,73,2,75
"CEPVR",92,2,94,73,2,75
"ALML",14,172,186,14,134,148
"ALMR",14,172,186,14,134,148
"AVM",164,163,327,158,142,300
"PVM",97,126,223,84,101,185
"PLML",93,118,211,79,87,166
"PLMR",93,118,211,79,87,166
