Neuron,Outdegree_NPP_all_mid_range,Indegree_NPP_all_mid_range,Degree_NPP_all_mid_range,Outdegree_NPP_all_short_range,Indegree_NPP_all_short_range,Degree_NPP_all_short_range
"I1L",120,181,301,3,16,19
"I1R",120,181,301,3,16,19
"I2L",98,27,125,1,5,6
"I2R",98,27,125,1,5,6
"I3",137,74,211,12,10,22
"I4",121,56,177,14,10,24
"I5",131,81,212,8,16,24
"I6",105,20,125,9,0,9
"M1",107,139,246,6,19,25
"M2L",164,21,185,12,7,19
"M2R",164,21,185,12,7,19
"M3L",101,40,141,7,10,17
"M3R",101,40,141,7,10,17
"M4",143,6,149,14,0,14
"M5",114,54,168,14,10,24
"MCL",73,39,112,4,7,11
"MCR",73,39,112,4,7,11
"MI",118,44,162,13,9,22
"NSML",153,102,255,13,2,15
"NSMR",153,102,255,13,2,15
"ADFL",109,132,241,100,118,218
"ADFR",109,132,241,100,118,218
"ADLL",118,129,247,87,106,193
"ADLR",118,129,247,87,106,193
"ASEL",35,45,80,32,36,68
"ASER",92,97,189,86,83,169
"ASGL",136,166,302,133,147,280
"ASGR",136,166,302,133,147,280
"ASHL",144,121,265,135,111,246
"ASHR",144,121,265,135,111,246
"ASIL",92,81,173,86,77,163
"ASIR",92,81,173,86,77,163
"ASJL",91,149,240,86,135,221
"ASJR",91,149,240,86,135,221
"ASKL",133,118,251,122,103,225
"ASKR",133,118,251,122,103,225
"AWAL",129,111,240,123,107,230
"AWAR",129,111,240,123,107,230
"AWBL",118,115,233,111,104,215
"AWBR",118,115,233,111,104,215
"AWCL",92,111,203,86,103,189
"AWCR",92,111,203,86,103,189
"AFDL",35,60,95,35,58,93
"AFDR",35,60,95,35,58,93
"IL2DL",112,82,194,84,56,140
"IL2DR",112,82,194,84,56,140
"IL2L",139,133,272,111,112,223
"IL2R",139,133,272,111,112,223
"IL2VL",112,82,194,84,56,140
"IL2VR",112,82,194,84,56,140
"OLQDL",149,7,156,123,7,130
"OLQDR",149,7,156,123,7,130
"OLQVL",149,7,156,123,7,130
"OLQVR",149,7,156,123,7,130
"OLLL",85,124,209,65,101,166
"OLLR",85,124,209,65,101,166
"CEPDL",92,2,94,73,2,75
"CEPDR",92,2,94,73,2,75
"CEPVL",92,2,94,73,2,75
"CEPVR",92,2,94,73,2,75
"ALML",14,186,200,14,147,161
"ALMR",14,186,200,14,147,161
"AVM",169,228,397,163,206,369
"PVM",100,126,226,87,101,188
"PLML",95,134,229,81,103,184
"PLMR",95,134,229,81,103,184
