Neuron,Outdegree_NPP_all_mid_range,Indegree_NPP_all_mid_range,Degree_NPP_all_mid_range,Outdegree_NPP_all_short_range,Indegree_NPP_all_short_range,Degree_NPP_all_short_range
"I1L",130,199,329,3,16,19
"I1R",130,199,329,3,16,19
"I2L",116,54,170,1,5,6
"I2R",116,54,170,1,5,6
"I3",152,191,343,12,15,27
"I4",134,191,325,14,15,29
"I5",140,199,339,10,19,29
"I6",140,37,177,17,1,18
"M1",138,206,344,15,19,34
"M2L",176,73,249,15,12,27
"M2R",176,73,249,15,12,27
"M3L",124,50,174,9,12,21
"M3R",124,50,174,9,12,21
"M4",180,6,186,16,0,16
"M5",123,191,314,14,15,29
"MCL",73,78,151,4,9,13
"MCR",73,78,151,4,9,13
"MI",135,81,216,13,9,22
"NSML",162,131,293,16,5,21
"NSMR",162,131,293,16,5,21
"ADFL",141,204,345,131,187,318
"ADFR",141,204,345,131,187,318
"ADLL",128,129,257,97,106,203
"ADLR",128,129,257,97,106,203
"ASEL",124,92,216,114,82,196
"ASER",119,153,272,109,138,247
"ASGL",147,212,359,139,191,330
"ASGR",147,212,359,139,191,330
"ASHL",157,145,302,144,135,279
"ASHR",157,145,302,144,135,279
"ASIL",119,114,233,109,110,219
"ASIR",119,114,233,109,110,219
"ASJL",91,157,248,86,137,223
"ASJR",91,157,248,86,137,223
"ASKL",173,201,374,160,186,346
"ASKR",173,201,374,160,186,346
"AWAL",148,174,322,138,156,294
"AWAR",148,174,322,138,156,294
"AWBL",143,133,276,133,122,255
"AWBR",143,133,276,133,122,255
"AWCL",119,138,257,109,130,239
"AWCR",119,138,257,109,130,239
"AFDL",117,60,177,116,58,174
"AFDR",117,60,177,116,58,174
"IL2DL",120,91,211,90,64,154
"IL2DR",120,91,211,90,64,154
"IL2L",146,149,295,116,128,244
"IL2R",146,149,295,116,128,244
"IL2VL",120,91,211,90,64,154
"IL2VR",120,91,211,90,64,154
"OLQDL",160,7,167,129,7,136
"OLQDR",160,7,167,129,7,136
"OLQVL",160,7,167,129,7,136
