Degree,Phi_norm,Phi,Phi_rand,Stdev
111.000000,1.006716,0.455465,0.452427,0.000409
112.000000,1.006716,0.455465,0.452427,0.000409
113.000000,1.006893,0.463760,0.460585,0.000487
114.000000,1.006893,0.463760,0.460585,0.000487
115.000000,1.006339,0.467526,0.464581,0.000517
116.000000,1.006339,0.467526,0.464581,0.000517
117.000000,1.006339,0.467526,0.464581,0.000517
118.000000,1.007246,0.472098,0.468702,0.000518
119.000000,1.007246,0.472098,0.468702,0.000518
120.000000,1.006140,0.476181,0.473275,0.000559
121.000000,1.006140,0.476181,0.473275,0.000559
122.000000,1.006140,0.476181,0.473275,0.000559
123.000000,1.006140,0.476181,0.473275,0.000559
124.000000,1.006140,0.476181,0.473275,0.000559
125.000000,1.006140,0.476181,0.473275,0.000559
126.000000,1.006140,0.476181,0.473275,0.000559
127.000000,1.006140,0.476181,0.473275,0.000559
128.000000,1.004572,0.486825,0.484609,0.000623
129.000000,1.004572,0.486825,0.484609,0.000623
130.000000,1.004572,0.486825,0.484609,0.000623
131.000000,1.004572,0.486825,0.484609,0.000623
132.000000,1.004572,0.486825,0.484609,0.000623
133.000000,1.003497,0.493615,0.491895,0.000674
134.000000,1.001541,0.500189,0.499420,0.000712
135.000000,1.001746,0.502185,0.501310,0.000701
136.000000,1.001746,0.502185,0.501310,0.000701
137.000000,1.001014,0.505660,0.505148,0.000755
138.000000,1.001014,0.505660,0.505148,0.000755
139.000000,1.001567,0.510119,0.509320,0.000781
140.000000,1.001567,0.510119,0.509320,0.000781
141.000000,1.001567,0.510119,0.509320,0.000781
142.000000,1.001567,0.510119,0.509320,0.000781
143.000000,1.000977,0.513482,0.512981,0.000818
144.000000,1.000977,0.513482,0.512981,0.000818
145.000000,1.000977,0.513482,0.512981,0.000818
146.000000,1.000243,0.516595,0.516469,0.000834
147.000000,1.000228,0.520129,0.520010,0.000884
148.000000,1.000437,0.532641,0.532408,0.001057
149.000000,1.000437,0.532641,0.532408,0.001057
150.000000,1.000653,0.536810,0.536460,0.001112
151.000000,0.999545,0.544502,0.544749,0.001219
152.000000,0.999545,0.544502,0.544749,0.001219
153.000000,0.999545,0.544502,0.544749,0.001219
154.000000,0.999545,0.544502,0.544749,0.001219
155.000000,0.999696,0.549032,0.549199,0.001261
156.000000,0.999696,0.549032,0.549199,0.001261
157.000000,1.002160,0.558074,0.556871,0.001437
158.000000,1.002160,0.558074,0.556871,0.001437
159.000000,1.000847,0.568375,0.567894,0.001550
160.000000,1.000847,0.568375,0.567894,0.001550
161.000000,1.000847,0.568375,0.567894,0.001550
162.000000,1.000847,0.568375,0.567894,0.001550
163.000000,1.000773,0.572116,0.571674,0.001501
164.000000,1.001553,0.574603,0.573712,0.001560
165.000000,1.002566,0.581767,0.580279,0.001665
166.000000,1.006113,0.592223,0.588625,0.001747
167.000000,1.006113,0.592223,0.588625,0.001747
168.000000,1.006113,0.592223,0.588625,0.001747
169.000000,1.006113,0.592223,0.588625,0.001747
170.000000,1.005442,0.596817,0.593587,0.001754
171.000000,1.004980,0.600763,0.597786,0.001890
172.000000,1.004980,0.600763,0.597786,0.001890
173.000000,1.004980,0.600763,0.597786,0.001890
174.000000,1.001751,0.602876,0.601822,0.001885
175.000000,1.001751,0.602876,0.601822,0.001885
176.000000,1.000444,0.604086,0.603818,0.001935
177.000000,1.000444,0.604086,0.603818,0.001935
178.000000,1.017855,0.642626,0.631354,0.002506
179.000000,1.017855,0.642626,0.631354,0.002506
180.000000,1.012188,0.643804,0.636052,0.002706
181.000000,1.012188,0.643804,0.636052,0.002706
182.000000,1.012188,0.643804,0.636052,0.002706
183.000000,1.034225,0.679900,0.657401,0.003101
184.000000,1.034225,0.679900,0.657401,0.003101
185.000000,1.038487,0.685521,0.660115,0.003072
186.000000,1.038557,0.705510,0.679318,0.003628
187.000000,1.037209,0.711076,0.685566,0.003849
188.000000,1.025824,0.716140,0.698112,0.004142
189.000000,1.025824,0.716140,0.698112,0.004142
190.000000,1.025824,0.716140,0.698112,0.004142
191.000000,1.018958,0.718252,0.704889,0.004151
192.000000,1.015678,0.722222,0.711074,0.004319
193.000000,1.011376,0.728364,0.720172,0.004725
194.000000,1.013165,0.733163,0.723636,0.004747
195.000000,1.007635,0.736318,0.730739,0.004891
196.000000,1.007635,0.736318,0.730739,0.004891
197.000000,1.007635,0.736318,0.730739,0.004891
198.000000,1.007635,0.736318,0.730739,0.004891
199.000000,1.007635,0.736318,0.730739,0.004891
200.000000,1.007635,0.736318,0.730739,0.004891
201.000000,1.007635,0.736318,0.730739,0.004891
202.000000,1.010804,0.741725,0.733797,0.004994
203.000000,1.010804,0.741725,0.733797,0.004994
204.000000,1.010804,0.741725,0.733797,0.004994
205.000000,0.987004,0.742938,0.752720,0.005510
206.000000,0.987004,0.742938,0.752720,0.005510
207.000000,0.978733,0.740210,0.756295,0.005605
208.000000,0.978733,0.740210,0.756295,0.005605
209.000000,0.978733,0.740210,0.756295,0.005605
