Degree,Phi_norm,Phi,Phi_rand,Stdev
1.000000,1.000000,0.302040,0.302040,0.000000
2.000000,1.000000,0.302040,0.302040,0.000000
3.000000,1.000000,0.302040,0.302040,0.000000
4.000000,1.000000,0.302040,0.302040,0.000000
5.000000,1.000000,0.302040,0.302040,0.000000
6.000000,1.000073,0.309968,0.309945,0.000000
7.000000,1.000073,0.309968,0.309945,0.000000
8.000000,1.000073,0.309968,0.309945,0.000000
9.000000,1.000146,0.311982,0.311937,0.000000
10.000000,1.000146,0.311982,0.311937,0.000000
11.000000,1.000146,0.315981,0.315935,0.000000
12.000000,1.000146,0.315981,0.315935,0.000000
13.000000,1.000146,0.315981,0.315935,0.000000
14.000000,1.000219,0.322047,0.321977,0.000001
15.000000,1.000365,0.326202,0.326083,0.000002
16.000000,1.000365,0.326202,0.326083,0.000002
17.000000,1.000731,0.330466,0.330225,0.000003
18.000000,1.000731,0.330466,0.330225,0.000003
19.000000,1.001686,0.339235,0.338664,0.000004
20.000000,1.001686,0.339235,0.338664,0.000004
21.000000,1.001687,0.343543,0.342964,0.000005
22.000000,1.002865,0.348323,0.347328,0.000007
23.000000,1.002865,0.348323,0.347328,0.000007
24.000000,1.005126,0.355779,0.353964,0.000007
25.000000,1.005906,0.358314,0.356210,0.000007
26.000000,1.005906,0.358314,0.356210,0.000007
27.000000,1.005906,0.358314,0.356210,0.000007
28.000000,1.005906,0.358314,0.356210,0.000007
29.000000,1.005906,0.358314,0.356210,0.000007
30.000000,1.005906,0.358314,0.356210,0.000007
31.000000,1.005906,0.358314,0.356210,0.000007
32.000000,1.005906,0.358314,0.356210,0.000007
33.000000,1.005906,0.358314,0.356210,0.000007
34.000000,1.005906,0.358314,0.356210,0.000007
35.000000,1.005906,0.358314,0.356210,0.000007
36.000000,1.005906,0.358314,0.356210,0.000007
37.000000,1.005919,0.362584,0.360451,0.000008
38.000000,1.005919,0.362584,0.360451,0.000008
39.000000,1.005929,0.366887,0.364725,0.000010
40.000000,1.005929,0.366887,0.364725,0.000010
41.000000,1.005929,0.366887,0.364725,0.000010
42.000000,1.005929,0.366887,0.364725,0.000010
43.000000,1.005929,0.366887,0.364725,0.000010
44.000000,1.005929,0.366887,0.364725,0.000010
45.000000,1.005929,0.366887,0.364725,0.000010
46.000000,1.005929,0.366887,0.364725,0.000010
47.000000,1.005929,0.366887,0.364725,0.000010
48.000000,1.005929,0.366887,0.364725,0.000010
49.000000,1.005929,0.366887,0.364725,0.000010
50.000000,1.006399,0.375314,0.372928,0.000015
51.000000,1.006399,0.377418,0.375019,0.000017
52.000000,1.006399,0.377418,0.375019,0.000017
53.000000,1.006399,0.377418,0.375019,0.000017
54.000000,1.006399,0.377418,0.375019,0.000017
55.000000,1.006399,0.377418,0.375019,0.000017
56.000000,1.006399,0.377418,0.375019,0.000017
57.000000,1.006399,0.377418,0.375019,0.000017
58.000000,1.006399,0.377418,0.375019,0.000017
59.000000,1.006399,0.377418,0.375019,0.000017
60.000000,1.006399,0.377418,0.375019,0.000017
61.000000,1.006399,0.377418,0.375019,0.000017
62.000000,1.006399,0.377418,0.375019,0.000017
63.000000,1.006399,0.377418,0.375019,0.000017
64.000000,1.006552,0.381375,0.378893,0.000020
65.000000,1.006552,0.381375,0.378893,0.000020
66.000000,1.006552,0.381375,0.378893,0.000020
67.000000,1.006552,0.381375,0.378893,0.000020
68.000000,1.006554,0.383296,0.380800,0.000023
69.000000,1.006554,0.383296,0.380800,0.000023
70.000000,1.006554,0.383296,0.380800,0.000023
71.000000,1.006554,0.383296,0.380800,0.000023
72.000000,1.006554,0.383296,0.380800,0.000023
73.000000,1.006554,0.383296,0.380800,0.000023
74.000000,1.006554,0.383296,0.380800,0.000023
75.000000,1.006512,0.390748,0.388220,0.000033
76.000000,1.006512,0.390748,0.388220,0.000033
77.000000,1.006512,0.390748,0.388220,0.000033
78.000000,1.006512,0.390748,0.388220,0.000033
79.000000,1.006512,0.390748,0.388220,0.000033
80.000000,1.006512,0.390748,0.388220,0.000033
81.000000,1.006512,0.390748,0.388220,0.000033
82.000000,1.006512,0.390748,0.388220,0.000033
83.000000,1.006512,0.390748,0.388220,0.000033
84.000000,1.006512,0.390748,0.388220,0.000033
85.000000,1.006512,0.390748,0.388220,0.000033
86.000000,1.006512,0.390748,0.388220,0.000033
87.000000,1.006512,0.390748,0.388220,0.000033
88.000000,1.006512,0.390748,0.388220,0.000033
89.000000,1.006512,0.390748,0.388220,0.000033
90.000000,1.006512,0.390748,0.388220,0.000033
91.000000,1.006879,0.401155,0.398414,0.000055
92.000000,1.006879,0.401155,0.398414,0.000055
93.000000,1.006318,0.428677,0.425985,0.000107
94.000000,1.006403,0.432668,0.429916,0.000109
95.000000,1.006516,0.438740,0.435900,0.000117
96.000000,1.006516,0.438740,0.435900,0.000117
97.000000,1.006516,0.438740,0.435900,0.000117
98.000000,1.006516,0.438740,0.435900,0.000117
99.000000,1.006516,0.438740,0.435900,0.000117
100.000000,1.006516,0.438740,0.435900,0.000117
101.000000,1.009847,0.459464,0.454984,0.000179
102.000000,1.009674,0.463762,0.459319,0.000194
