Degree,Phi_norm,Phi,Phi_rand,Stdev
1.000000,1.000000,0.142709,0.142709,0.000000
2.000000,1.000000,0.142709,0.142709,0.000000
3.000000,1.000156,0.144589,0.144566,0.000000
4.000000,1.000156,0.147412,0.147388,0.000000
5.000000,1.000157,0.149317,0.149294,0.000000
6.000000,1.000157,0.149317,0.149294,0.000000
7.000000,1.000157,0.151215,0.151191,0.000000
8.000000,1.000157,0.151215,0.151191,0.000000
9.000000,1.000312,0.154084,0.154036,0.000002
10.000000,1.000312,0.154084,0.154036,0.000002
11.000000,1.000312,0.154084,0.154036,0.000002
12.000000,1.000617,0.159865,0.159766,0.000006
13.000000,1.000927,0.165929,0.165775,0.000008
14.000000,1.000927,0.165929,0.165775,0.000008
15.000000,1.001244,0.170094,0.169883,0.000009
16.000000,1.002022,0.173390,0.173040,0.000012
17.000000,1.003300,0.180158,0.179566,0.000017
18.000000,1.004493,0.195920,0.195043,0.000027
19.000000,1.005552,0.197403,0.196313,0.000029
20.000000,1.006708,0.198903,0.197578,0.000030
21.000000,1.006708,0.198903,0.197578,0.000030
22.000000,1.008171,0.203011,0.201366,0.000036
23.000000,1.008479,0.206972,0.205231,0.000043
24.000000,1.012145,0.210373,0.207849,0.000047
25.000000,1.012145,0.210373,0.207849,0.000047
26.000000,1.012126,0.213009,0.210457,0.000049
27.000000,1.012083,0.221171,0.218531,0.000055
28.000000,1.012083,0.221171,0.218531,0.000055
29.000000,1.012405,0.224017,0.221273,0.000060
30.000000,1.012405,0.224017,0.221273,0.000060
31.000000,1.012405,0.224017,0.221273,0.000060
32.000000,1.012405,0.224017,0.221273,0.000060
33.000000,1.011988,0.232243,0.229492,0.000079
34.000000,1.011363,0.256805,0.253920,0.000107
35.000000,1.010937,0.261884,0.259051,0.000121
36.000000,1.010870,0.263595,0.260761,0.000121
37.000000,1.011369,0.278179,0.275052,0.000138
38.000000,1.011369,0.278179,0.275052,0.000138
39.000000,1.011369,0.278179,0.275052,0.000138
40.000000,1.011369,0.278179,0.275052,0.000138
41.000000,1.011369,0.278179,0.275052,0.000138
42.000000,1.011220,0.281716,0.278590,0.000145
43.000000,1.010801,0.290977,0.287868,0.000163
44.000000,1.010801,0.290977,0.287868,0.000163
45.000000,1.010559,0.294664,0.291585,0.000178
